lambda,validation_r,frobenius_distance,condition_number
0.1,0.220944,2.218766,41230136.34
0.15,0.220944,3.328149,40356873.7
0.2,0.220944,4.437531,39492289.92
0.25,0.220944,5.546914,38637144.93
0.3,0.220944,6.656296,37792275.04
0.35,0.220944,7.765679,36958600.5
0.4,0.220943,8.87506,36137132.27
0.45,0.220943,9.984442,35328979.65
0.5,0.220943,11.093823,34535357.09
0.55,0.220943,12.203203,33757590.23
0.6,0.220942,13.312583,32997120.62
0.65,0.220942,14.421962,32255508.31
0.7,0.220942,15.531339,31534431.23
0.75,0.220941,16.640714,30835680.49
0.8,0.220941,17.750085,30161149.94
0.85,0.22094,18.859453,29512819.31
0.9,0.220939,19.968813,28892728.9
0.95,0.220938,21.078161,28302945.3
