race_id,race_type,state,year
2026 AL Senate,senate,AL,2026
2026 AK Senate,senate,AK,2026
2026 AR Senate,senate,AR,2026
2026 CO Senate,senate,CO,2026
2026 DE Senate,senate,DE,2026
2026 FL Senate,senate,FL,2026
2026 GA Senate,senate,GA,2026
2026 ID Senate,senate,ID,2026
2026 IL Senate,senate,IL,2026
2026 IA Senate,senate,IA,2026
2026 KS Senate,senate,KS,2026
2026 KY Senate,senate,KY,2026
2026 LA Senate,senate,LA,2026
2026 ME Senate,senate,ME,2026
2026 MA Senate,senate,MA,2026
2026 MI Senate,senate,MI,2026
2026 MN Senate,senate,MN,2026
2026 MS Senate,senate,MS,2026
2026 MT Senate,senate,MT,2026
2026 NE Senate,senate,NE,2026
2026 NH Senate,senate,NH,2026
2026 NJ Senate,senate,NJ,2026
2026 NM Senate,senate,NM,2026
2026 NC Senate,senate,NC,2026
2026 OH Senate,senate,OH,2026
2026 OK Senate,senate,OK,2026
2026 OR Senate,senate,OR,2026
2026 RI Senate,senate,RI,2026
2026 SC Senate,senate,SC,2026
2026 SD Senate,senate,SD,2026
2026 TN Senate,senate,TN,2026
2026 TX Senate,senate,TX,2026
2026 VA Senate,senate,VA,2026
2026 WV Senate,senate,WV,2026
2026 WY Senate,senate,WY,2026
2026 AL Governor,governor,AL,2026
2026 AK Governor,governor,AK,2026
2026 AZ Governor,governor,AZ,2026
2026 AR Governor,governor,AR,2026
2026 CA Governor,governor,CA,2026
2026 CO Governor,governor,CO,2026
2026 CT Governor,governor,CT,2026
2026 FL Governor,governor,FL,2026
2026 GA Governor,governor,GA,2026
2026 HI Governor,governor,HI,2026
2026 ID Governor,governor,ID,2026
2026 IL Governor,governor,IL,2026
2026 IA Governor,governor,IA,2026
2026 KS Governor,governor,KS,2026
2026 ME Governor,governor,ME,2026
2026 MD Governor,governor,MD,2026
2026 MA Governor,governor,MA,2026
2026 MI Governor,governor,MI,2026
2026 MN Governor,governor,MN,2026
2026 NE Governor,governor,NE,2026
2026 NV Governor,governor,NV,2026
2026 NH Governor,governor,NH,2026
2026 NM Governor,governor,NM,2026
2026 NY Governor,governor,NY,2026
2026 OH Governor,governor,OH,2026
2026 OK Governor,governor,OK,2026
2026 OR Governor,governor,OR,2026
2026 PA Governor,governor,PA,2026
2026 RI Governor,governor,RI,2026
2026 SC Governor,governor,SC,2026
2026 SD Governor,governor,SD,2026
2026 TN Governor,governor,TN,2026
2026 TX Governor,governor,TX,2026
2026 VT Governor,governor,VT,2026
2026 WI Governor,governor,WI,2026
2026 WY Governor,governor,WY,2026
